ano,sigla_uf,vagas,id_municipio_tse
1996,AM,33,2550
1996,AP,17,6050
1996,AL,21,27855
1996,AC,9,1007
1996,AC,9,1015
1996,AC,9,1023
1996,AC,18,1392
1996,ES,21,57053
1996,CE,41,13897
1996,BA,35,38490
1996,MS,21,90514
1996,RN,21,17612
1996,MG,37,41238
1996,GO,13,92703
1996,GO,9,93360
1996,GO,33,93734
1996,PI,9,10014
1996,PI,9,10049
1996,PI,11,10057
1996,PI,9,10111
1996,PI,9,10154
1996,PI,9,10162
1996,PI,9,10170
1996,PI,9,10197
1996,PI,9,10200
1996,PI,9,10219
1996,PI,9,10251
1996,PI,9,10316
1996,PI,9,10332
1996,PI,9,10359
1996,PI,9,10367
1996,PI,9,10413
1996,PI,9,10448
1996,PI,9,10472
1996,PI,9,10499
1996,PI,9,10553
1996,PI,9,10596
1996,PI,9,10600
1996,PI,11,10618
1996,PI,9,10650
1996,PI,9,10693
1996,PI,9,10715
1996,PI,9,10740
1996,PI,9,10790
1996,PI,9,10804
1996,PI,9,10812
1996,PI,9,10839
1996,PI,11,10871
1996,PI,9,10880
1996,PI,9,10901
1996,PI,9,10936
1996,PI,9,10952
1996,PI,9,10987
1996,PI,11,10995
1996,PI,9,11053
1996,PI,9,11070
1996,PI,9,11088
1996,PI,9,11118
1996,PI,9,11177
1996,PI,9,11193
1996,PI,9,11215
1996,PI,9,11258
1996,PI,9,11274
1996,PI,9,11290
1996,PI,9,11312
1996,PI,9,11339
1996,PI,9,11355
1996,PI,9,11436
1996,PI,9,11452
1996,PI,9,11479
1996,PI,11,11495
1996,PI,9,11517
1996,PI,13,11614
1996,PI,9,11630
1996,PI,9,11690
1996,PI,9,11711
1996,PI,9,11770
1996,PI,9,11819
1996,PI,9,11835
1996,PI,9,11894
1996,PI,9,11916
1996,PI,9,11959
1996,PI,9,12017
1996,PI,9,12068
1996,PI,9,12084
1996,PI,9,12092
1996,PI,21,12190
1996,PI,9,12270
1996,PI,9,12300
1996,PI,9,12319
1996,PI,9,12335
1996,PI,9,12378
1996,PI,9,12424
1996,PI,9,12505
1996,PI,9,12548
1996,PI,9,12556
1996,PI,9,12564
1996,PI,9,12580
1996,PI,9,12599
1996,PI,9,12610
1996,PI,9,12629
1996,PI,9,12637
1996,PI,9,12653
1996,PI,9,12661
1996,PI,9,12700
1996,PE,41,25313
1996,SE,21,31054
1996,SE,9,31119
1996,PA,33,4278
1996,PB,21,20516
1996,RR,17,3018
1996,RS,33,88013
1996,SP,55,71072
1996,TO,9,73105
1996,TO,9,73113
1996,TO,11,73440
1996,TO,9,92606
1996,TO,9,94994
1996,TO,9,96970
1996,MA,21,9210
2000,AC,9,1120
2000,AC,9,1570
2000,AC,9,1058
2000,AC,9,1007
2000,AC,9,1015
2000,AC,11,1074
2000,AC,9,1112
2000,AC,9,1139
2000,AC,9,1104
2000,AC,9,1090
2000,AC,9,1554
2000,AC,9,1040
2000,AC,9,1511
2000,AC,9,1023
2000,AC,9,1066
2000,AC,18,1392
2000,AC,9,1082
2000,AC,9,1031
2000,AC,9,1457
2000,AC,9,1538
2000,AC,9,1473
2000,AC,9,1490
2000,AL,11,27014
2000,AL,9,27030
2000,AL,15,27057
2000,AL,15,27073
2000,AL,9,27090
2000,AL,9,27111
2000,AL,9,27138
2000,AL,9,27154
2000,AL,9,27170
2000,AL,12,27197
2000,AL,9,27219
2000,AL,9,27235
2000,AL,9,27251
