CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1100015,1 - Norte,11,Rondônia,Alta Floresta D'Oeste,22945,4 - 20001 até 50000
1100023,1 - Norte,11,Rondônia,Ariquemes,107863,6 - 100001 até 500000
1100031,1 - Norte,11,Rondônia,Cabixi,5312,2 - 5001 até 10000
1100049,1 - Norte,11,Rondônia,Cacoal,85359,5 - 50001 até 100000
1100056,1 - Norte,11,Rondônia,Cerejeiras,16323,3 - 10001 até 20000
1100064,1 - Norte,11,Rondônia,Colorado do Oeste,15882,3 - 10001 até 20000
1100072,1 - Norte,11,Rondônia,Corumbiara,7391,2 - 5001 até 10000
1100080,1 - Norte,11,Rondônia,Costa Marques,18331,3 - 10001 até 20000
1100098,1 - Norte,11,Rondônia,Espigão D'Oeste,32374,4 - 20001 até 50000
1100106,1 - Norte,11,Rondônia,Guajará-Mirim,46174,4 - 20001 até 50000
1100114,1 - Norte,11,Rondônia,Jaru,51775,5 - 50001 até 100000
1100122,1 - Norte,11,Rondônia,Ji-Paraná,128969,6 - 100001 até 500000
1100130,1 - Norte,11,Rondônia,Machadinho D'Oeste,39991,4 - 20001 até 50000
1100148,1 - Norte,11,Rondônia,Nova Brasilândia D'Oeste,20474,4 - 20001 até 50000
1100155,1 - Norte,11,Rondônia,Ouro Preto do Oeste,36035,4 - 20001 até 50000
1100189,1 - Norte,11,Rondônia,Pimenta Bueno,36660,4 - 20001 até 50000
1100205,1 - Norte,11,Rondônia,Porto Velho,529544,7 - Maior que 500000
1100254,1 - Norte,11,Rondônia,Presidente Médici,18986,3 - 10001 até 20000
1100262,1 - Norte,11,Rondônia,Rio Crespo,3764,1 - Até 5000
1100288,1 - Norte,11,Rondônia,Rolim de Moura,55058,5 - 50001 até 100000
1100296,1 - Norte,11,Rondônia,Santa Luzia D'Oeste,6495,2 - 5001 até 10000
1100304,1 - Norte,11,Rondônia,Vilhena,99854,5 - 50001 até 100000
1100320,1 - Norte,11,Rondônia,São Miguel do Guaporé,23005,4 - 20001 até 50000
1100338,1 - Norte,11,Rondônia,Nova Mamoré,30583,4 - 20001 até 50000
1100346,1 - Norte,11,Rondônia,Alvorada D'Oeste,14411,3 - 10001 até 20000
1100379,1 - Norte,11,Rondônia,Alto Alegre dos Parecis,13241,3 - 10001 até 20000
1100403,1 - Norte,11,Rondônia,Alto Paraíso,21428,4 - 20001 até 50000
1100452,1 - Norte,11,Rondônia,Buritis,39654,4 - 20001 até 50000
1100502,1 - Norte,11,Rondônia,Novo Horizonte do Oeste,8538,2 - 5001 até 10000
1100601,1 - Norte,11,Rondônia,Cacaulândia,6230,2 - 5001 até 10000
1100700,1 - Norte,11,Rondônia,Campo Novo de Rondônia,14139,3 - 10001 até 20000
1100809,1 - Norte,11,Rondônia,Candeias do Jamari,26693,4 - 20001 até 50000
1100908,1 - Norte,11,Rondônia,Castanheiras,3052,1 - Até 5000
1100924,1 - Norte,11,Rondônia,Chupinguaia,11182,3 - 10001 até 20000
1100940,1 - Norte,11,Rondônia,Cujubim,25215,4 - 20001 até 50000
1101005,1 - Norte,11,Rondônia,Governador Jorge Teixeira,7767,2 - 5001 até 10000
1101104,1 - Norte,11,Rondônia,Itapuã do Oeste,10458,3 - 10001 até 20000
1101203,1 - Norte,11,Rondônia,Ministro Andreazza,9660,2 - 5001 até 10000
1101302,1 - Norte,11,Rondônia,Mirante da Serra,10947,3 - 10001 até 20000
1101401,1 - Norte,11,Rondônia,Monte Negro,15852,3 - 10001 até 20000
1101435,1 - Norte,11,Rondônia,Nova União,6970,2 - 5001 até 10000
1101450,1 - Norte,11,Rondônia,Parecis,6074,2 - 5001 até 10000
1101468,1 - Norte,11,Rondônia,Pimenteiras do Oeste,2169,1 - Até 5000
1101476,1 - Norte,11,Rondônia,Primavera de Rondônia,2856,1 - Até 5000
1101484,1 - Norte,11,Rondônia,São Felipe D'Oeste,5172,2 - 5001 até 10000
1101492,1 - Norte,11,Rondônia,São Francisco do Guaporé,20266,4 - 20001 até 50000
1101500,1 - Norte,11,Rondônia,Seringueiras,11856,3 - 10001 até 20000
1101559,1 - Norte,11,Rondônia,Teixeirópolis,4308,1 - Até 5000
1101609,1 - Norte,11,Rondônia,Theobroma,10444,3 - 10001 até 20000
1101708,1 - Norte,11,Rondônia,Urupá,11467,3 - 10001 até 20000
1101757,1 - Norte,11,Rondônia,Vale do Anari,11204,3 - 10001 até 20000
1101807,1 - Norte,11,Rondônia,Vale do Paraíso,6825,2 - 5001 até 10000
1200013,1 - Norte,12,Acre,Acrelândia,15256,3 - 10001 até 20000
1200054,1 - Norte,12,Acre,Assis Brasil,7417,2 - 5001 até 10000
1200104,1 - Norte,12,Acre,Brasiléia,26278,4 - 20001 até 50000
1200138,1 - Norte,12,Acre,Bujari,10266,3 - 10001 até 20000
1200179,1 - Norte,12,Acre,Capixaba,11733,3 - 10001 até 20000
1200203,1 - Norte,12,Acre,Cruzeiro do Sul,88376,5 - 50001 até 100000
1200252,1 - Norte,12,Acre,Epitaciolândia,18411,3 - 10001 até 20000
1200302,1 - Norte,12,Acre,Feijó,34780,4 - 20001 até 50000
1200328,1 - Norte,12,Acre,Jordão,8317,2 - 5001 até 10000
1200336,1 - Norte,12,Acre,Mâncio Lima,18977,3 - 10001 até 20000
1200344,1 - Norte,12,Acre,Manoel Urbano,9459,2 - 5001 até 10000
1200351,1 - Norte,12,Acre,Marechal Thaumaturgo,18867,3 - 10001 até 20000
1200385,1 - Norte,12,Acre,Plácido de Castro,19761,3 - 10001 até 20000
1200393,1 - Norte,12,Acre,Porto Walter,11982,3 - 10001 até 20000
1200401,1 - Norte,12,Acre,Rio Branco,407319,6 - 100001 até 500000
1200427,1 - Norte,12,Acre,Rodrigues Alves,18930,3 - 10001 até 20000
1200435,1 - Norte,12,Acre,Santa Rosa do Purus,6540,2 - 5001 até 10000
1200450,1 - Norte,12,Acre,Senador Guiomard,23024,4 - 20001 até 50000
1200500,1 - Norte,12,Acre,Sena Madureira,45848,4 - 20001 até 50000
1200609,1 - Norte,12,Acre,Tarauacá,42567,4 - 20001 até 50000
1200708,1 - Norte,12,Acre,Xapuri,19323,3 - 10001 até 20000
